# gcam_regions.csv - maps a market-name prefix to one of GCAM's 32 regions.
prefix,region
ZambeziR,Africa_Southern
AusCstE,Australia_NZ
AfrCstSE,Africa_Southern
AusCstW,Australia_NZ
SaoFrancR,Brazil
AusInt,Australia_NZ
OrangeR,South Africa
BrzCstS,Brazil
AfrCstSW,Africa_Southern
AfrIntS,Africa_Southern
AfrCstS,South Africa
LimpopoR,South Africa
LaPuna,South America_Southern
NewZealand,Australia_NZ
AusCstS,Australia_NZ
MarChiq,Argentina
AfrCstSSW,South Africa
Salinas,Argentina
RioLaPlata,Brazil
ChileCstN,South America_Southern
MurrayDrlg,Australia_NZ
Pampas,Argentina
ArgCstN,Argentina
Tasmania,Australia_NZ
ArgColoR,Argentina
NegroR,Argentina
Patagonia,Argentina
ArgCstS,Argentina
California,USA
MissppRN,USA
MissppRS,USA
UsaColoRN,USA
UsaColoRS,USA
GreatBasin,USA
MissouriR,USA
ArkWhtRedR,USA
TexasCst,USA
UsaCstSE,USA
GreatLakes,Canada
OhioR,USA
UsaPacNW,USA
TennR,USA
RioGrande,USA
UsaCstNE,USA
UsaCstE,USA
Hawaii,USA
NarmadaR,India
AK,USA
Alaska grid,USA
AL,USA
Southeast grid,USA
AR,USA
AZ,USA
Southwest grid,USA
CA,USA
California grid,USA
CO,USA
CT,USA
New England grid,USA
DC,USA
Mid-Atlantic grid,USA
DE,USA
FL,USA
Florida grid,USA
GA,USA
HI,USA
Hawaii grid,USA
IA,USA
Central Northwest grid,USA
ID,USA
Northwest grid,USA
IL,USA
Central Northeast grid,USA
IN,USA
Central East grid,USA
KS,USA
Central Southwest grid,USA
KY,USA
LA,USA
MA,USA
MD,USA
ME,USA
MI,USA
MN,USA
MO,USA
MS,USA
MT,USA
NC,USA
ND,USA
NE,USA
NH,USA
NJ,USA
NM,USA
NV,USA
NY,USA
New York grid,USA
OH,USA
OK,USA
OR,USA
PA,USA
RI,USA
SC,USA
SD,USA
TN,USA
TX,USA
Texas grid,USA
UT,USA
VA,USA
VT,USA
WA,USA
WI,USA
WV,USA
WY,USA
CO2,
